16303|||MILGETA Agrar GmbH|Schwedt/Oder Stadt|401689|1339|03332 510237||Schwedenweg 18|||Landmaschinenhändler|MILGETA Agrargesellschaft mbH Vierraden|http://www.firmenwissen.de/az/firmeneintrag/16303/3250012236/MILGETA_AGRARGESELLSCHAFT_MIT_BESCHRAENKTER_HAFTUNG_VIERRADEN.html|None
59510|||Rasche GbR|Lippetal|47576|159|0351 2690884||An der Prießnitzaue 19|||Stahlbauunternehmen|Montageservice D & S Rasche GbR|http://www.firmenwissen.de/az/firmeneintrag/18375/3190405938/ANDREAS_RASCHE_UND_MICHAEL_RASCHE_REEDEREI_W_RASCHE_GBR.html|reederei-rasche@gmx.de
28870|||Moor Milch KG|Ottersberg Flecken|50426|168|04297 998||Giers-Schanzendorf 5|||Landwirtschaft|Moor Milch KG|http://www.firmenwissen.de/az/firmeneintrag/28870/2050696625/MOOR_MILCH_KG.html|None
29361|||MPM GmbH & Co. KG|Eschede|128183|427|0201 105670||Kopstadtpl. 13|||Zeitarbeitsagentur|MPM Meyer Personalmanagement GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/29361/2070156548/MPM_GMBH_CO_KG.html|None
99189|||Mühlberghof Leefers GbR|Gebesee Stadt|177986|593|036201 50901||Mühlstraße 28|||Hofläden|Mühlberghof Andrea Leefers|http://www.firmenwissen.de/az/2/7/3/5/6_8.html|None
53773|||Mühlenberger Hof KG|Hennef (Sieg) Stadt|54898|183|02244 3848||Mühlenbergstraße 40|||Landwirtschaft|Mühlenberger Hof KG|http://www.firmenwissen.de/az/firmeneintrag/53773/5030436139/MUEHLENBERGER_HOF_KG.html|None
36469|||MUKULA  Mutterkuhhaltung und Landschaftspflege GmbH|Tiefenort|204360|681|03695 824012||Mühlgasse 22|||Tierzucht und Tierhaltung|MUKULA Mutterkuhhaltung und Landschaftspflege GmbH|http://www.firmenwissen.de/az/firmeneintrag/36469/3210048132/MUKULA_MUTTERKUHHALTUNG_UND_LANDSCHAFTSPFLEGE_GMBH.html|None
4849|||Muldeland Agrar GmbH Bad Düben|Bad Düben Stadt|545000|1817|034243 23049||Eilenburger Str. 12|||Landwirtschaftsbetrieb|Muldeland Agrar GmbH|http://www.firmenwissen.de/az/firmeneintrag/04849/3150071048/MULDELAND_AGRAR_GMBH.html|Muldeland@t-online.de
17495|||GbR Müller Klaus und Peter|Lühmannsdorf|169983|567|038355 71967||Feldstraße 1A|||Fotokopier- und Vervielfältigungsbetriebe|Müller GbR Klaus und Peter|http://www.firmenwissen.de/az/firmeneintrag/58642/4190061419/KLAUS_GUENTHER_KARDELL_UND_PETER_MUELLER_WIEHL_GBR.html|None
27616|||Müller KG|Beverstedt|52270|174|06241 947770||Klosterstraße 13|||Maschinenbauunternehmen|Müller KG, Ehrhard|http://www.firmenwissen.de/az/firmeneintrag/58540/5150001988/BUSCH_MUELLER_KG.html|info@bumm.de
8132|||Mülsener Marktfrucht und Milchgut GmbH|Mülsen|514224|1714|037604 2209||Neuer Weg 5|||Obst- und Gemüsehandel|Mülsener Marktfrucht und Milchgut GmbH|http://www.firmenwissen.de/az/firmeneintrag/08132/3310022489/MUELSENER_MARKTFRUCHT_UND_MILCHGUT_GMBH.html|None
9236|||Multi-Agrar Claußnitz GmbH|Claußnitz|906340|3021|037202 80010||Burgstädter Str. 97B|||Landwirtschaftsbetrieb|Multi-Agrar Claußnitz GmbH|http://www.firmenwissen.de/az/firmeneintrag/09236/3030045639/MULTI_AGRAR_CLAUSSNITZ_GMBH.html|service@multi-agrar.de
7589|||Münchenbernsdorfer Mutterkuh GmbH|Münchenbernsdorf Stadt|94438|315|036604 80920||Großbockaer Str. 1||||Münchenbernsdorfer Mutterkuh GmbH|http://www.firmenwissen.de/az/firmeneintrag/07589/3110061627/MUENCHENBERNSDORFER_MUTTERKUH_GMBH.html|info@agrar-eg.de
15907|||MURI GmbH Lübben -Rinderhaltung-|Lübben (Spreewald) Stadt|352741|1176|03546 2472||An der Bukoitza|||Tierzucht und Tierhaltung|Muri Gmbh-rinderhaltung|https://duckduckgo.com/?q=MURI+GmbH+L%C3%BCbben+-Rinderhaltung-+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
16818|||MURI Mutterkuh GmbH|Fehrbellin|298938|996|0172 3819725||Am Wald 26||||Muri Mutterkuh GmbH|http://www.firmenwissen.de/az/firmeneintrag/16818/3270020043/MURI_MUTTERKUH_GESELLSCHAFT_MIT_BESCHRAENKTER_HAFTUNG.html|mf-wustrau@t-online.de
16833|||Mutterkuh GmbH Karwesee|Fehrbellin|128985|430|0172 3819725||Am Wald 26||||Muri Mutterkuh GmbH|http://www.firmenwissen.de/az/firmeneintrag/16833/3270039032/MUTTERKUH_GMBH_KARWESEE_LENTZKE.html|ag-lentzke@gmx.de
6686|||Agrar GmbH Muschwitz|Lützen Stadt|44228|147|034441 4186020381||Schmiedegasse 95|||Landesprodukte Großhandel|Muschwitzer Agrar GmbH|http://www.firmenwissen.de/az/firmeneintrag/06686/3130010392/MUSCHWITZER_AGRAR_GMBH.html|deboersnm@t-online.de
9306|||Mutterkuh -  GmbH Naundorf|Erlau|112692|376|03737 49050||Am Lagerhaus 1|||Landwirtschaft|Mutterkuh - GmbH Naundorf|http://www.firmenwissen.de/az/firmeneintrag/09306/3030106643/MUTTERKUH_GMBH_NAUNDORF.html|info@agraset-naundorf.de
99625|||Mutterkuh an der Finne GmbH|Kölleda Stadt|81401|271|03635 49240||Weimarische Str. 1|||Landesprodukte Großhandel|Mutterkuh an der Finne GmbH|http://www.firmenwissen.de/az/firmeneintrag/99625/3450047946/MUTTERKUH_AN_DER_FINNE_GMBH.html|None
9471|||Mutterkuh GmbH  Am Schwarzwassertal /die|Königswalde|112098|374|03733 188070||Geyersdorfer Str. 18|||Tierzucht und Tierhaltung|Mutterkuh GmbH Am Schwarzwassertal|http://www.firmenwissen.de/az/firmeneintrag/09471/3310050791/MUTTERKUH_GMBH_AM_SCHWARZWASSERTAL.html|None
16866|||GmbH Mutterkuh Barenthin|Gumtow|76512|255|033972 40283||Schönermarker Weg 2|||Tierzucht und Tierhaltung|Mutterkuh GmbH Barenthin|http://www.firmenwissen.de/az/firmeneintrag/16866/3270043606/MUTTERKUH_GMBH_BARENTHIN.html|None
17166|||Mutterkuh GmbH Teterow|Teterow Stadt|110165|367|03996 183285||Von-Moltke-Straße 29|||Rinderzüchtereien|Mutterkuh GmbH Teterow|http://www.firmenwissen.de/az/firmeneintrag/17166/3190199940/MUTTERKUH_GMBH_TETEROW.html|lajn@freenet.de
19303|||Mutterkuh GmbH Vielank|Vielank|60034|200|038759 20465||Friedensstraße 29|||Tierzucht und Tierhaltung|Mutterkuh GmbH Vielank|http://www.firmenwissen.de/az/firmeneintrag/19303/3330046964/MUTTERKUH_GMBH_VIELANK.html|info@landerzeuger.de
6493|||Landgut Güntersberge GmbH|Harzgerode Stadt|191068|637|039488 338||Bärenröder Str. 97c OT|||Verwaltungsgesellschaften|Mutterkuh Güntersberge GmbH|http://www.firmenwissen.de/az/firmeneintrag/06493/3370008092/LANDGUT_GUENTERSBERGE_GMBH.html|jutta.kalt@portal-rind.de
3238|||Landw.GmbH Finsterwalde|Finsterwalde Stadt|442088|1474|03531 50100||Dorfstraße 30|||Landwirtschaftsbetrieb|Mutterkuh-Agrar-GmbH|http://www.firmenwissen.de/az/firmeneintrag/03238/3050064370/WOHNLAND_GMBH.html|None
3238|||Mutterkuh-AGRAR-GmbH Lugau Sitz Drößig|Heideland|270262|901|03531 50100||Dorfstraße 30|||Landwirtschaftsbetrieb|Mutterkuh-Agrar-GmbH|http://www.firmenwissen.de/az/firmeneintrag/03238/3050113236/MUTTERKUH_AGRAR_GMBH_LUGAU_SITZ_DROESSIG.html|necz@lawi-fiwa.de
17039|||Mutterkuhhaltung Chemnitz GmbH|Blankenhof|91694|306|0395 5823167||Gartenstraße 1|||Tierzucht und Tierhaltung|Mutterkuhhaltung Chemnitz GmbH|http://www.firmenwissen.de/az/firmeneintrag/17039/3490024123/MUTTERKUHHALTUNG_CHEMNITZ_GMBH.html|None
99097|||Mutterkuhhaltung Egstedt GmbH|Erfurt Stadt|42547|142|0361 3463830||Fuhrmannsweg 1|||Garten- und Landschaftsbau|Mutterkuhhaltung Egstedt GmbH|http://www.firmenwissen.de/az/firmeneintrag/99102/3090095223/MUTTERKUHHALTUNG_EGSTEDT_GMBH.html|E.Zeuner@t-online.de
4932|||Mutterkuhhaltung - GbR|Röderland|198455|662|039885 2225||Kreuzkruger Str. 21|||Landwirtschaftsbetrieb|Mutterkuhhaltung GbR|http://www.firmenwissen.de/az/firmeneintrag/14715/3270063265/HANS_JUERGEN_REISER_UND_ANDY_REISER_GBR_MUTTERKUHHALTUNG.html|None
39615|||Mutterkuhhaltung GmbH Groß Garz|Seehausen (Altmark) Hansestadt|113160|377|039398 216||Hauptstraße 64||||Mutterkuhhaltung GmbH|http://www.firmenwissen.de/az/firmeneintrag/39619/3350023658/MUTTERKUHHALTUNG_GMBH_GROSS_GARZ.html|None
15345|||Mutterkuhhaltung Remplin GmbH|Malchin Stadt|73165|244|03341 476550||Lindenallee 25|||Rinderzüchtereien|Mutterkuhhaltung Remplin GmbH|http://www.firmenwissen.de/az/firmeneintrag/17139/3490105017/MUTTERKUHHALTUNG_REMPLIN_GMBH.html|None
18513|||MVA Nehringen GmbH|Ivenack|70743|236|038334 66608||Nehringen 1|||Landwirtschaft|MVA Nehringen GmbH|http://www.firmenwissen.de/az/firmeneintrag/18513/3190313579/MVA_NEHRINGEN_GMBH.html|None
17329|||Nadrenseer Agrar  GmbH & Co.KG|Nadrensee|584410|1948|039746 20242||Dorfstraße 9|||LKW-Spedition|Nadrenseer Agrar GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/17329/3490015748/NADRENSEER_AGRAR_GMBH_CO_KG.html|None
15366|||NAG Neuenhagener Agrar- u. Landschaftspflegegesell. mbH|Neuenhagen bei Berlin|146139|487|03342 207428||Am Krankenhaus 9|||Landwirtschaft|NAG Neuenhagener Agrar- und Landschaftspflegegesellschaft mbH|https://duckduckgo.com/?q=NAG+Neuenhagener+Agrar-+u.+Landschaftspflegegesell.+mbH+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
27638|||Nagelfeld KG|Wremen|223642|745|04705 794||Wremer Specken 1||||Nagelfeld KG|http://www.firmenwissen.de/az/firmeneintrag/27639/2350117511/NAGELFELD_KG.html|None
19399|||Natur-Rinderproduktions GmbH Dobbertin|Dobbertin|62801|209|038736 42410||Schulstraße 17|||Landwirtschaft|Natur-Rinderproduktions GmbH Dobbertin|http://www.firmenwissen.de/az/firmeneintrag/19399/3330037029/NATUR_RINDERPRODUKTIONS_GMBH_DOBBERTIN.html|None
14715|||NATURA Agrar GmbH|Märkisch Luch|379314|1264|033876 40240||Weg am Teich 1|||Landwirtschaftliche Produkte Einzelhandel|Natura Agrar GmbH Barnewitz|http://www.firmenwissen.de/az/firmeneintrag/14715/3270004990/NATURA_AGRAR_GMBH_BARNEWITZ.html|None
31319|||NATURENO Agrar GmbH & Co. KG|Sehnde Stadt|188155|627|05138 606740||Vorwerk Neuloh 1|||Landwirtschaftsbetrieb|NATURENO Verwaltungs- und Beteiligungsgesellschaft mbH|http://www.firmenwissen.de/az/firmeneintrag/31319/2190503636/NATURENO_AGRAR_GMBH_CO_KG.html|Block-Grupe@natureno.de
15754|||Naturhof Heidesee GmbH & Co.KG|Heidesee|180271|601|033767 899681||Weg zur Mühle 2a|||Landwirtschaftliche Produkte Großhandel|Naturhof Heidesee GmbH & Co KG|http://www.firmenwissen.de/az/firmeneintrag/15754/2011751562/NATURHOF_HEIDESEE_GMBH_CO_KG.html|a_conring@hotmail.com
19273|||Naturprodukte Krusendorf GmbH|Amt Neuhaus|74414|248|038841 21840||Stiepelser Str.|||Tierzucht und Tierhaltung|Naturprodukte GmbH Krusendorf|http://www.firmenwissen.de/az/firmeneintrag/19273/3330104680/NATURPRODUKTE_GMBH.html|None
17268|||Naturrind GmbH Böckenberg|Gerswalde|149903|500|039887 394||Ort Böckenberg 31|||Landwirtschaftsbetrieb|Naturrind GmbH Böckenberg|http://www.firmenwissen.de/az/firmeneintrag/17268/3490046459/NATURRIND_GMBH_BOECKENBERG.html|schult_aevg@web.de
7381|||GbR Naturrind Orlatal|Langenorla|215071|717|03647 418190||Schweinitzer Weg 6|||Animal Breeding And Keeping|Naturrind Orlatal GbR|http://www.firmenwissen.de/az/firmeneintrag/07381/3430023223/UDO_WUNDERLICH_RAINER_WUNDERLICH_GBR_NATURRIND_ORLATAL.html|gbr_naturrind_orlatal@t-online.de
9487|||Naturschutzzentrum Erzgebirge gGmbH /die|Schlettau Stadt|70652|236|03733 56290||Am Sauwald 1|||Naturschutz|Naturschutzzentrum Erzgebirge gGmbH|http://www.firmenwissen.de/az/firmeneintrag/09487/3310056758/NATURSCHUTZZENTRUM_ERZGEBIRGE_GEMEINNUETZIGE_GMBH.html|zentrale@naturschutzzentrum-erzgebirge.de
58509|||Naturschutzzentr. Märk.Kreis Landschaftspfl. gGmbH|Lüdenscheid Stadt|72291|241|02351 4324240||Grebbecker Weg 3|||Verband, Verein oder Organisation|Naturschutzzentrum Märkischer Kreis Landschaftspflege gemeinnützige GmbH|https://duckduckgo.com/?q=Naturschutzzentr.+M%C3%A4rk.Kreis+Landschaftspfl.+gGmbH+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
27446|||Naturstrom Burfeind GmbH & Co. KG|Deinstedt|55123|184|04284 1200||Dorfstraße 2|||Biogasanlagen und -gewinnung|Naturstrom Burfeind GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/27446/2350111761/NATURSTROM_BURFEIND_GMBH_CO_KG.html|info@naturstromgmbh.de
4617|||Naundorfer Agrargenossenschaft eG|Starkenberg|239768|799|03448 3470||Kostitzer Str. 3|||Landwirtschaftliche Produkte Einzelhandel|Naundorfer Agrargenossenschaft e.G.|http://www.firmenwissen.de/az/firmeneintrag/04617/3110038823/NAUNDORFER_AGRARGENOSSENSCHAFT_EG.html|just.th@web.de
19357|||Nebeliner  Agrar -  GmbH|Karstädt|140400|468|038797 918860||Putlitzer Str. 14E|||Landwirtschaft|Nebeliner Agrar-GmbH|http://www.firmenwissen.de/az/firmeneintrag/19357/3330009953/NEBELINER_AGRAR_GMBH.html|None
29683|||Neddenriep KG|Bad Fallingbostel Stadt|43909|146|05163 91303||Riepe 9|||Landwirtschaft|Neddenriep KG|http://www.firmenwissen.de/az/firmeneintrag/29683/2050705198/NEDDENRIEP_KG.html|None
19294|||Neu Kalißer Mutterkuh GmbH|Neu Kaliß|140159|467|038758 26286||Ernst-Thälmann-Straße 3|||Dienstleistungen|Neu Kalißer GT GmbH|http://www.firmenwissen.de/az/firmeneintrag/19294/3330014813/NEU_KALISSER_MUTTERKUH_GMBH.html|None
17099|||Neue Salower landwirt. GmbH & Co. KG|Datzetal|67327|224|039601 20502||Rogaer Weg 6||||Neue Salower Landwirtschaft- liche GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/48653/4250578866/ARGE_ELEKTRO_MOENNIG_GMBH_CO_KG_PAPE_BOEHM_GMBH_CO_KG.html|None
19230|||Neuenroder Land- und Tier GmbH|Lübtheen Stadt|271679|906|038856 3780||Am Pk.|||Landesprodukte Großhandel|Neuenroder Land- und Tier GmbH|http://www.firmenwissen.de/az/firmeneintrag/19230/3330038041/NEUENRODER_LAND_UND_TIER_GMBH.html|None
16775|||KFL Agrar & Dienste GmbH|Großwoltersdorf|248691|829|033082 50325||Granseer Str. 69|||Landwirtschaft|NEUGRO Landwirtschaft & Dienste GmbH|http://www.firmenwissen.de/az/firmeneintrag/16775/2010775243/KFL_AGRAR_DIENSTE_GMBH_GROSS_WOLTERSDORF.html|None
16559|||Neuholl. Fleischrind GmbH|Liebenwalde Stadt|220536|735|033054 60280||Liebenberger Damm 1|||Metzgerei|Neuholländer Fleischrind GmbH|https://duckduckgo.com/?q=Neuholl.+Fleischrind+GmbH+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
16515|||NGH Agrar GmbH & Co. Agrargesellsch. Nonnendorf KG|Niederer Fläming|275495|918|033744 60304||Hauptstraße 11|||Landwirtschaftsbetrieb|NGH Agrar Nonnendorf GmbH|http://www.firmenwissen.de/az/firmeneintrag/14913/2011426747/NGH_AGRAR_NONNENDORF_GMBH.html|None
16515|||NGH Agrar GmbH & Co. Agrargesells.  Hohenseefeld KG|Niederer Fläming|162936|543|033744 60304||Hauptstraße 11|||Landwirtschaftsbetrieb|NGH Agrar Nonnendorf GmbH|http://www.firmenwissen.de/az/firmeneintrag/14913/2011467121/NGH_AGRAR_HOHENSEEFELD_GMBH.html|None
99955|||Nicklas' Hof GbR|Herbsleben|144434|481|036041 3970||Gebeseer Str. 30|||Landwirtschaftsbetrieb|Nicklas'Hof Landwirtschaftsbetrieb u. Spargelhof|http://www.firmenwissen.de/az/5/3/5/4/7_2.html|None
2791|||Niederoderwitz Agrar GmbH|Oderwitz|254776|849|035842 25385||Spitzkunnersdorfer Str. 8|||Biogasanlagen und -gewinnung|Niederoderwitz Agrar GmbH|http://www.firmenwissen.de/az/firmeneintrag/02791/3390102932/NIEDERODERWITZ_AGRAR_GMBH.html|niederoderwitz_agrar@gmx.de
7570|||Niederpöllnitzer Mutterkuh GmbH|Harth-Pöllnitz|106398|355|036607 5100||Pappelallee 7|||Landwirtschaftsbetrieb|Niederpöllnitzer Mutterkuh GmbH|http://www.firmenwissen.de/az/firmeneintrag/07570/3110055686/NIEDERPOELLNITZER_MUTTERKUH_GMBH.html|None
27243|||Niedersächsische Rasenkulturen Nira GmbH & Co. KG|Groß Ippener|54373|181|04224 92140||Annenstraße 3|||Gartencenter|Niedersächsische Rasenkulturen NIRA GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/27243/2050700718/NIEDERSAECHSISCHE_RASENKULTUREN_NIRA_GMBH_CO_KG.html|info@xeroflor.de
37586|||Nds. Hengstaufzuchtgestüt|Dassel Stadt|149544|498|05564 8216||Gestütstraße 10|||Tierzucht und Tierhaltung|Niedersächsisches Hengstaufzuchtgestüt|http://www.firmenwissen.de/az/firmeneintrag/30175/2190642955/FOETEV_NDS_FOEDERATION_TUERKISCHER_ELTERNVEREINE_IN_NIEDERSACHSEN_E_V.html|None
2943|||Niederschlesische Agrargenossenschaft Reichwalde e.G.|Boxberg/O.L.|345451|1152|035774 30932||Alte Bautzener Str.|||Landwirtschaftliche Produkte Einzelhandel|Niederschlesische Agrargenossenschaft e.G.|http://www.firmenwissen.de/az/firmeneintrag/02943/3050016992/NIEDERSCHLESISCHE_AGRARGENOSSENSCHAFT_REICHWALDE_EG.html|None
7919|||GbR Hof Nieghorn|Pausa-Mühltroff Stadt|80929|270|036645 35448||Vogtlandstraße 76|||Landwirtschaftliche Produkte Einzelhandel|Nieghorn Hof GbR|http://www.firmenwissen.de/az/firmeneintrag/07919/3110082268/BERNHARD_NIEGHORN_STEV_NIEGHORN_HOLGER_NIEGHORN.html|None
6429|||Nienburger Agrargen. e.G.|Nienburg (Saale) Stadt|132129|440|034721 21330||Hauptstraße 32|||Landwirtschaftliche Produkte Einzelhandel|Nienburger Agrargenossenschaft e.G.|https://duckduckgo.com/?q=Nienburger+Agrargen.+e.G.+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
19294|||Niendorfer Landerzeugergesellschaft mbH|Grebs-Niendorf|304472|1015|038750 20335||Lindenstraße 50|||Landwirtschaftliche Produkte Einzelhandel|Niendorfer Landerzeugergesellschaft mbH|http://www.firmenwissen.de/az/firmeneintrag/19294/3330010145/NIENDORFER_LANDERZEUGERGESELLSCHAFT_MBH.html|None
19322|||Nitzow/Theek Öko GbR|Breese|96630|322|03877 69415||Rundling 6|||Fotokopier- und Vervielfältigungsbetriebe|Nitzow & Theek GbR|https://duckduckgo.com/?q=Nitzow%2FTheek+%C3%96ko+GbR+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
19322|||GbR Nitzow/Theek|Breese|48247|161|03877 69415||Rundling 6|||Fotokopier- und Vervielfältigungsbetriebe|Nitzow & Theek GbR|http://www.firmenwissen.de/az/firmeneintrag/19322/3330033692/KARSTEN_NITZOW_UND_BIRGIT_THEEK_LANDWIRTSCHAFT.html|None
4668|||NM - Nerchau-Mutzschener Agrar- und Service GmbH|Grimma Stadt|464720|1549|034385 51435||Bahnhofstraße 69|||Saatgutanbieter|NM-Nerchau-Mutzschener Agrar und Service GmbH|http://www.firmenwissen.de/az/firmeneintrag/04668/3150191620/NM_NERCHAU_MUTZSCHENER_AGRAR_UND_SERVICE_GMBH.html|nm.agrar@t-online.de
19372|||Agrar-Produkte  eG Spornitz|Spornitz|1993327|6644|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/19372/3330011766/AGRAR_PRODUKTE_EG_SPORNITZ.html|mail@argrar-spornitz.de
36419|||Agrargenossenschaft Rhönperle eG Bremen|Geisa Stadt|1595755|5319|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/36419/3210001941/AGRARGENOSSENSCHAFT_RHOENPERLE_EG_BREMEN.html|info@ag-kano.de
9306|||Agraset-Agrargenossenschaft eG Naundorf|Erlau|1463222|4877|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/09306/3030012816/AGRASET_AGRARGENOSSENSCHAFT_EG_NAUNDORF_BEI_ROCHLITZ.html|None
6536|||AgrarGen.-Harzerland- eG.|Südharz|992716|3309|None||No Address|||No Business Description|No Business Name|https://duckduckgo.com/?q=AgrarGen.-Harzerland-+eG.+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
15295|||Bauerngesellschaft Ziltendorfer Niederung GbR|Wiesenau|982197|3274|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/15295/3250030990/BAUERNGESELLSCHAFT_ZILTENDORFER_NIEDERUNG_GBR.html|Bauerngesellschaft.Wiesenau@lycos.de
6556|||Agrarproduktion-und Handels GmbH|Kalbsrieth|949349|3164|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/16278/3250006778/GUT_AGRARPRODUKTION_UND_HANDELS_GMBH_WILMERSDORF.html|None
9661|||Agrargenossenschaft Hainichen/Pappendorf e.G.|Hainichen Stadt|934386|3115|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/02779/3390006757/AGRARGENOSSENSCHAFT_E_G_HAINEWALDE_GROSSSCHOENAU.html|riedel@agrar-eg-hainewalde.de
14558|||agro Saarmund e.G.|Nuthetal|919941|3066|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/14558/2010398490/AGRO_SAARMUND_EG.html|None
29410|||AEG eG Pretzier|Salzwedel Hansestadt|885823|2953|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/8048/1406574885/AEG_HAUSGERAETE_AG.html|None
85586|||Landesanstalt für Landwirtschaft|Poing|842502|2808|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/98596/3210123731/ADOLF_ROBUS_LANDWIRTSCHAFTSBETRIEB.html|adolf_robus@finnhuette-am-rennsteig.de
7778|||Gönnatal-agrar eG|Lehesten|841122|2804|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/07778/3410001585/GOENNATAL_AGRAR_EG.html|Goennatal-agrar@t-online.de
19089|||Agrargenossenschaft Crivitz e.G.|Crivitz Stadt|836003|2787|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/19089/3330002003/AGRARGENOSSENSCHAFT_CRIVITZ_E_G.html|None
15749|||Märk.Agrargenossenschaft e.G. (MAG)|Mittenwalde Stadt|825666|2752|None||No Address|||No Business Description|No Business Name|https://duckduckgo.com/?q=M%C3%A4rk.Agrargenossenschaft+e.G.+%28MAG%29+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
6429|||Pflanzenbau-Gen. e.G. Bernburg-Nord|Nienburg (Saale) Stadt|823356|2745|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/38895/3370053959/PFLANZENBAU_LANGENSTEIN_GMBH_CO_KG.html|kontakt@pflanzenbau-langenstein.de
